country_or_org,year,orbital_launches,commercial_space_revenue_usd_billions,space_agency_budget_usd_billions,active_satellites_owned,space_workforce_thousands,earth_observation_revenue_usd_billions,space_tourism_passengers,launch_success_rate_pct
United States,2023,116,286.4,25.4,3415,298.4,18.4,14,94.4
China,2023,67,14.4,12.4,588,188.4,2.4,0,96.4
Russia,2023,20,2.8,2.4,188,44.4,0.8,0,88.4
SpaceX (USA),2023,96,8.8,0,0,12.4,0.4,8,98.4
European Space Agency,2023,4,8.8,8.4,148,28.4,2.8,0,82.4
Japan,2023,6,4.4,2.4,88,12.4,0.8,0,88.4
India,2023,7,0.8,1.6,58,18.4,0.4,0,86.4
United Kingdom,2023,4,12.4,0.6,88,48.4,1.2,0,88.4
France,2023,3,4.4,1.4,88,14.4,1.4,0,88.4
Germany,2023,2,3.8,0.6,44,8.4,0.8,0,92.4
Canada,2023,2,2.8,0.6,44,8.4,0.6,0,94.4
South Korea,2023,3,1.8,0.8,28,8.4,0.4,0,88.4
Israel,2023,2,2.4,0.2,18,4.4,0.4,0,88.4
New Zealand (RocketLab),2023,10,0.6,0.1,0,1.4,0.1,0,90.4
UAE,2023,2,0.4,0.6,12,2.4,0.2,0,88.4
Italy,2023,2,1.8,0.8,24,4.4,0.4,0,88.4
Brazil,2023,0,0.4,0.2,12,2.4,0.2,0,0
Saudi Arabia,2023,1,0.4,0.4,8,1.4,0.1,0,88.4
Australia,2023,1,1.8,0.2,18,2.4,0.4,0,88.4
Luxembourg,2023,0,2.8,0.1,18,1.4,0.2,0,0
Blue Origin (USA),2023,2,0.6,0,0,0.8,0,6,88.4
Virgin Galactic (USA),2023,4,0.1,0,0,0.2,0,4,82.4
Arianespace (EU),2023,4,1.2,0,0,0.8,0,0,88.4
OneWeb (UK),2023,2,0.8,0,648,0.4,0,0,96.4
Planet Labs (USA),2023,0,0.4,0,220,0.6,0.4,0,0
