region,country,year,total_population_millions,population_growth_rate_pct,median_age,fertility_rate,urban_population_pct,working_age_population_pct,dependency_ratio,net_migration_per_1000
World,Global,2023,8045,0.88,30.5,2.31,57.5,64.8,54.4,0.0
North America,United States,2023,335.9,0.53,38.9,1.66,82.9,64.5,55.1,3.9
North America,Canada,2023,38.9,0.83,41.8,1.47,82.2,64.8,54.2,8.7
North America,Mexico,2023,130.2,0.85,29.3,1.83,81.5,65.8,52.0,1.2
South America,Brazil,2023,215.3,0.72,34.8,1.64,87.8,68.3,46.4,-0.1
South America,Argentina,2023,46.2,0.95,31.9,1.96,92.5,64.2,55.8,0.2
Europe,Germany,2023,83.8,0.17,45.7,1.58,77.5,63.2,58.4,5.0
Europe,France,2023,68.0,0.38,42.3,1.79,81.5,61.8,61.8,1.6
Europe,United Kingdom,2023,67.7,0.53,40.6,1.56,84.2,63.5,57.4,5.2
Europe,Italy,2023,58.9,-0.29,47.9,1.24,71.5,62.5,60.2,3.8
Europe,Spain,2023,47.4,0.32,44.4,1.19,80.9,63.8,56.8,8.0
Europe,Poland,2023,37.6,-0.17,42.3,1.46,60.2,64.6,54.9,-0.2
Africa,Nigeria,2023,223.8,2.42,17.8,5.14,53.8,53.5,86.9,-0.2
Africa,Ethiopia,2023,126.5,2.53,19.1,4.13,23.2,55.8,79.2,-0.1
Africa,Egypt,2023,105.9,1.73,24.9,3.26,42.8,62.4,60.5,-0.4
Asia,China,2023,1412.2,-0.01,39.0,1.09,64.6,68.0,47.0,-0.3
Asia,India,2023,1428.6,0.81,28.4,2.00,36.4,67.8,47.5,-0.3
Asia,Japan,2023,124.2,-0.50,48.7,1.21,91.9,58.2,72.0,0.5
Asia,Indonesia,2023,277.5,0.84,30.4,2.14,58.6,67.0,49.3,-0.5
Oceania,Australia,2023,26.5,1.68,37.9,1.66,86.3,64.8,54.4,6.8
